ЄДРПОУ;МФО;Рахунок;Валюта;Дата операції;Код операції;МФО банка;Назва банка;Рахунок кореспондента;ЄДРПОУ кореспондента;Кореспондент;Документ;Дата документа;Дебет;Кредит;Призначення платежу;Гривневе покриття
24238290;300335;UA653003350000000260072258238;UAH;16.04.2025;;351005;"АТ ""УКРСИББАНК""                       ";UA493510050000026009879135786;44467124;"ТОВ ""УСМ ДНІПРО""";1630;16.04.2025;;3306.00;Оплата за труби, згідно рахунка N 5812 від 15,04,2025 , у т.ч. ПДВ 20% - 551 грн.;0.00
24238290;300335;UA653003350000000260072258238;UAH;16.04.2025;;351005;"АТ ""УКРСИББАНК""                       ";UA493510050000026009879135786;44467124;"ТОВ ""УСМ ДНІПРО""";1629;16.04.2025;;9650.00;Оплата за труби, згідно рахунка N АН1 610 від 16,04,2025 , у т.ч. ПДВ 20% - 1608.33 грн.;0.00
24238290;300335;UA653003350000000260072258238;UAH;16.04.2025;;351005;"АТ ""УКРСИББАНК""                       ";UA493510050000026009879135786;44467124;"ТОВ ""УСМ ДНІПРО""";1631;16.04.2025;;2840.00;Оплата за труби, згідно рахунка NАН1 608 від 15,04,2025 , у т.ч. ПДВ 20% - 473.33 грн.;0.00
24238290;300335;UA653003350000000260072258238;UAH;16.04.2025;;305299;"АТ КБ ""ПриватБанк""                    ";UA433052990000026004015015670;40313749;УКРМЕТ-ПРОКАТ ТОВ;4960;16.04.2025;;65830.00;Оплата за металопрокат, згiдно Рах. №629 вiд 16.04.25, У сумi 54858.33 грн., ПДВ - 20 % 10971.67 грн.;0.00
24238290;300335;UA653003350000000260072258238;UAH;16.04.2025;;300528;"АТ ""ОТП БАНК""                         ";UA433005280000026004000009009;43006207;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""МІКС ТРЕЙДІНГ""";9086504411;16.04.2025;;13150.00;Оплата за труби по рахунку №5931 від 16.04.2025 у т.ч. ПДВ 20% 2191.67 грн.;0.00
24238290;300335;UA653003350000000260072258238;UAH;16.04.2025;;351005;"АТ ""УКРСИББАНК""                       ";UA073510050000026009878793356;41503819;"ТОВ ""СТАЛЬ ТРЕЙД ТД""";10865;16.04.2025;;3925.00;Предоплата за металопрокат,згідно рахунку №5947 від 16.04.2025р. , у т.ч. ПДВ 20% - 654.17 грн.;0.00
24238290;300335;UA653003350000000260072258238;UAH;16.04.2025;;305299;"АТ КБ ""ПриватБанк""                    ";UA833052990000026002050303327;41922252;ФОРСТОР IНДАСТРI ТОВ;21151;16.04.2025;;25440.50;За ТМЦ зг. рах. № 5945 вiд 16.04.2025 р. У сумi 21200.41 грн., ПДВ - 20 % 4240.09 грн.;0.00
24238290;300335;UA653003350000000260072258238;UAH;16.04.2025;;322669;"Філія - Головне управління по м. Києву та Київській області АТ ""Ощадбанк""";UA123226690000026005300234778;43376879;"ТОВ ""ТВК ""АМБАР""";14909;16.04.2025;;33601.00;Оплата за трубу зг. рах. №5915 від 16.04.2025 року у т.ч. ПДВ 20.00% - 5600.17;0.00
24238290;300335;UA653003350000000260072258238;UAH;16.04.2025;;334851;"АТ ""ПУМБ""                             ";UA963348510000000002600531149;40994719;"ТОВ ""МСК-УКРАЇНА""";1160;16.04.2025;;25131.00;Оплата за металопрокат згідно рахунка № 5899 від 16.04.2025, у т.ч. ПДВ 20% = 4 188,50 грн.;0.00
24238290;300335;UA653003350000000260072258238;UAH;16.04.2025;;300335;"АТ ""Райффайзен Банк""                  ";UA093003350000000260042190119;24238290;"ТОВ ""ПІВДЕНТРАНСБУДКОМПЛЕКТ""";303;16.04.2025;1200000.00;;Перерахування коштів на депозитний рахунок згідно депозитного договору № 021/В6/13-300 від 29.04.2024;0.00
